target_language,hierarchical,simple
bn,"['fin', 'hun', 'tur', 'uig']","['liv', 'myv', 'kir', 'tur', 'kpv', 'smj', 'sme', 'uzb', 'kaz', 'izh', 'hun', 'uig', 'sms', 'sma', 'krl', 'fin', 'aze', 'smn', 'udm', 'mdf', 'est', 'vep']"
de,"['fin', 'hun', 'tur', 'uig']","['sms', 'hun', 'sma', 'uzb', 'liv', 'aze', 'myv', 'smj', 'est', 'kpv', 'izh', 'uig', 'smn', 'krl', 'fin', 'kaz', 'vep', 'udm', 'tur', 'sme', 'kir', 'mdf']"
es,"['fin', 'hun', 'tur', 'uig']","['myv', 'izh', 'uig', 'krl', 'uzb', 'smn', 'smj', 'aze', 'sme', 'kir', 'tur', 'sms', 'kaz', 'hun', 'sma', 'mdf', 'liv', 'est', 'fin', 'udm', 'vep', 'kpv']"
fa,"['fin', 'hun', 'tur', 'uig']","['smj', 'uig', 'sms', 'vep', 'izh', 'krl', 'fin', 'tur', 'smn', 'aze', 'udm', 'hun', 'est', 'kpv', 'sme', 'uzb', 'kaz', 'liv', 'myv', 'mdf', 'kir', 'sma']"
fr,"['fin', 'hun', 'tur', 'uig']","['udm', 'myv', 'uzb', 'kir', 'tur', 'uig', 'mdf', 'sma', 'smj', 'krl', 'kaz', 'est', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'fin', 'kpv', 'aze', 'liv']"
hi,"['fin', 'hun', 'tur', 'uig']","['myv', 'vep', 'aze', 'uzb', 'fin', 'smn', 'kaz', 'tur', 'sme', 'krl', 'udm', 'izh', 'est', 'sms', 'sma', 'hun', 'kir', 'mdf', 'uig', 'smj', 'liv', 'kpv']"
it,"['fin', 'hun', 'tur', 'uig']","['kpv', 'smn', 'kir', 'sms', 'kaz', 'vep', 'fin', 'liv', 'sma', 'uig', 'tur', 'smj', 'krl', 'izh', 'sme', 'uzb', 'mdf', 'udm', 'aze', 'hun', 'myv', 'est']"
iw,"['fin', 'hun', 'spa', 'fra']","['cos', 'fra', 'est', 'kpv', 'pms', 'scn', 'mdf', 'ron', 'ast', 'lmo', 'ext', 'myv', 'udm', 'izh', 'smn', 'krl', 'srd', 'sme', 'hun', 'ita', 'nap', 'spa', 'glg', 'liv', 'por', 'cat', 'vec', 'lij', 'arg', 'mwl', 'lad', 'fin', 'smj', 'sms', 'vep', 'sma']"
ja,"['fin', 'hun', 'spa', 'fra']","['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']"
ko,"['fin', 'hun', 'spa', 'fra']","['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']"
nl,"['fin', 'hun', 'tur', 'uig']","['sms', 'tur', 'smj', 'kaz', 'fin', 'hun', 'kir', 'smn', 'uzb', 'izh', 'vep', 'est', 'aze', 'uig', 'liv', 'udm', 'kpv', 'sma', 'mdf', 'krl', 'myv', 'sme']"
pl,"['fin', 'hun', 'tur', 'uig']","['liv', 'smj', 'uig', 'est', 'udm', 'kpv', 'krl', 'vep', 'mdf', 'kir', 'sma', 'tur', 'kaz', 'aze', 'izh', 'smn', 'uzb', 'hun', 'sme', 'sms', 'fin', 'myv']"
pt,"['fin', 'hun', 'tur', 'uig']","['kaz', 'hun', 'fin', 'tur', 'krl', 'vep', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'uig', 'aze', 'sma', 'sms', 'mdf', 'sme', 'udm', 'est', 'kir', 'uzb']"
ru,"['fin', 'hun', 'tur', 'uig']","['myv', 'aze', 'smj', 'tur', 'sma', 'vep', 'est', 'izh', 'mdf', 'hun', 'krl', 'sme', 'fin', 'smn', 'uig', 'udm', 'liv', 'kir', 'sms', 'uzb', 'kpv', 'kaz']"
ta,"['fin', 'hun', 'spa', 'fra']","['lad', 'lij', 'udm', 'fra', 'smj', 'sme', 'smn', 'spa', 'cat', 'mdf', 'cos', 'krl', 'ast', 'myv', 'scn', 'kpv', 'arg', 'pms', 'sma', 'por', 'izh', 'est', 'ext', 'ita', 'lmo', 'ron', 'nap', 'mwl', 'hun', 'glg', 'liv', 'sms', 'srd', 'vep', 'vec', 'fin']"
uk,"['fin', 'hun', 'tur', 'uig']","['myv', 'smj', 'vep', 'sma', 'uig', 'kpv', 'krl', 'kaz', 'liv', 'kir', 'udm', 'sms', 'fin', 'est', 'mdf', 'izh', 'uzb', 'hun', 'smn', 'tur', 'aze', 'sme']"
vi,"['fin', 'hun', 'spa', 'fra']","['nap', 'scn', 'ext', 'sms', 'cat', 'arg', 'sme', 'spa', 'ron', 'lij', 'hun', 'liv', 'smn', 'pms', 'udm', 'fra', 'ita', 'cos', 'est', 'glg', 'kpv', 'srd', 'mwl', 'lmo', 'ast', 'vec', 'smj', 'izh', 'fin', 'mdf', 'lad', 'por', 'myv', 'vep', 'sma', 'krl']"
